Iteration 0:
-0.006368 0.297919 2.122661
0.861632 0.124522 3.066639
-0.209999 -0.292889 2.720816
0.184512 0.188563 1.976356
0.107134 0.010978 0.586073
-0.009699 -0.866815 2.723353
0.228723 0.211766 2.376816
0.102687 0.295274 2.287393
0.755394 0.047703 3.108591
-0.139481 -0.047384 0.909598
0.097965 0.187705 1.488007
0.080175 -0.976687 2.765627
-0.078098 0.075899 0.600447
-0.410866 0.227359 3.300539
0.096605 -0.218911 1.722222
-0.003089 -0.462417 2.970496
0.359571 0.118104 2.708436
0.069073 0.084080 0.599547
0.095953 0.218574 1.716998
0.048787 0.538259 3.198879
-0.287646 -0.220836 2.743850
-0.063893 -0.439607 2.940264
-0.292185 0.040102 2.111640
-0.080349 -0.188602 1.420126
-0.419423 -0.009734 2.806658
-0.198920 -0.016733 1.349922
0.724930 0.000642 3.142751
-0.714121 -0.121855 3.383484
-0.832595 -0.083781 2.975965
-0.006175 -0.029606 0.109718
-0.343820 0.022464 2.427042
0.662742 0.186735 3.638816
-0.164112 -0.042802 1.098552
-0.084089 -0.303345 2.282595
0.217535 -0.057998 1.579493
-0.016256 -0.161468 1.030788
0.142815 0.034052 0.902727
0.097965 0.187705 1.488007
-1.016989 0.043054 2.737996
0.071962 0.127829 0.910110
-1.002338 -0.062214 2.748761
-0.236225 -0.176114 2.228390
-0.062035 -0.320186 2.336955
0.051119 -0.465199 3.012700
0.401325 -0.356494 3.692200
-0.193802 -0.381596 3.070068
Iteration 15:
-0.198920 -0.016733 1.349922
-0.139481 -0.047384 0.909598
-0.000803 -0.280596 1.997888
-0.287646 -0.220836 2.743850
-0.063893 -0.439607 2.940264
0.071962 0.127829 0.910110
-0.006368 0.297919 2.122661
-0.419423 -0.009734 2.806658
0.955388 0.073462 2.723038
0.097965 0.187705 1.488007
-0.296389 -0.015210 2.115520
-0.006175 -0.029606 0.109718
-0.236225 -0.176114 2.228390
0.359571 0.118104 2.708436
0.093064 0.182927 1.428795
-0.164112 -0.042802 1.098552
-0.343820 0.022464 2.427042
-0.062035 -0.320186 2.336955
0.861632 0.124522 3.066639
0.233091 0.015971 1.634180
-0.987786 0.062671 2.718298
-0.193802 -0.381596 3.070068
-0.832595 -0.083781 2.975965
0.217535 -0.057998 1.579493
0.051119 -0.465199 3.012700
-0.073936 -0.438408 2.952964
0.755394 0.047703 3.108591
-0.162011 0.033305 1.060175
-0.840760 0.121516 3.102560
-0.292185 0.040102 2.111640
-0.026473 -0.035219 0.175638
0.069073 0.084080 0.599547
0.052555 -0.066507 0.422187
0.080175 -0.976687 2.765627
-0.067836 0.038833 0.376996
-0.072000 -0.025444 0.364597
0.118707 -0.200425 1.683554
0.142815 0.034052 0.902727
-0.016256 -0.161468 1.030788
0.105941 -0.192370 1.560959
0.097965 0.187705 1.488007
0.096605 0.162030 1.284305
0.048787 0.538259 3.198879
-0.080349 -0.188602 1.420126
0.095953 0.218574 1.716998
0.013960 0.196184 1.324478
-0.060774 -0.384741 2.696598
-0.213152 -0.948247 3.485367
-0.078098 0.075899 0.600447
-0.168786 -0.186231 1.865172
Iteration 16:
-0.008046 -0.191121 1.277915
-0.987786 0.062671 2.718298
-0.292185 0.040102 2.111640
-0.419423 -0.009734 2.806658
-0.139481 -0.047384 0.909598
-0.832595 -0.083781 2.975965
0.118707 -0.192922 1.628086
0.093401 -0.222346 1.735588
0.142815 0.034052 0.902727
-0.165977 0.015971 1.068742
-0.006368 0.297919 2.122661
-0.026473 -0.035219 0.175638
0.955388 0.073462 2.723038
-0.299224 -0.086355 2.262194
-0.164112 -0.042802 1.098552
-0.006175 -0.029606 0.109718
0.465490 0.043190 3.004348
0.032370 0.169792 1.123798
0.404943 0.063569 2.796358
-0.162011 0.033305 1.060175
0.096605 0.162030 1.284305
-0.072000 -0.025444 0.364597
0.071094 -0.394851 2.763701
0.071962 0.127829 0.910110
-0.080349 -0.188602 1.420126
0.080175 -0.976687 2.765627
-0.078098 0.075899 0.600447
0.217535 -0.057998 1.579493
-0.333683 0.077469 2.453652
-0.062035 -0.320186 2.336955
0.097965 0.187705 1.488007
0.069073 0.084080 0.599547
0.093064 0.182927 1.428795
-0.296389 -0.015210 2.115520
-0.028206 -0.246558 1.754385
0.052555 -0.066507 0.422187
-0.060774 -0.384741 2.696598
0.033307 0.084938 0.466484
0.048787 0.538259 3.198879
-0.073936 -0.438408 2.952964
0.183346 0.206966 2.084664
-0.016256 -0.161468 1.030788
-0.213152 -0.948247 3.485367
0.097965 0.187705 1.488007
0.095953 0.218574 1.716998
-0.287646 -0.220836 2.743850
0.236705 -0.117046 1.940808
0.013960 0.196184 1.324478
-0.067836 0.038833 0.376996
-0.168786 -0.186231 1.865172
Iteration 17:
-0.287646 -0.171334 2.515662
0.118707 -0.192922 1.628086
-0.006368 0.297919 2.122661
-0.139481 -0.047384 0.909598
-0.165977 0.015971 1.068742
0.069073 0.084080 0.599547
-0.026473 -0.035219 0.175638
-0.296389 -0.015210 2.115520
-0.100294 -0.860627 2.961716
0.080175 -0.976687 2.765627
0.095953 0.218574 1.716998
-0.333683 0.077469 2.453652
0.052555 -0.066507 0.422187
0.097965 0.187705 1.488007
